Date,Open,High,Low,Close,Volume
1995-01-05,7129.94,7144.7,7040.72,7051.49
1995-01-06,7086.88,7086.88,6884.61,6919.31
1995-01-07,6948.27,6948.27,6855.55,6915.4
1995-01-09,6948.73,6959.74,6869.08,6869.08
1995-01-10,6817.85,6838.95,6706.67,6756.88
1995-01-11,6736.11,6791.05,6720.07,6777.24
1995-01-12,6749.62,6749.62,6571.93,6609.5
1995-01-13,6673.26,6685.93,6582.05,6582.4
1995-01-14,6565.52,6565.52,6450.79,6511.3
1995-01-16,6556.98,6556.98,6473.06,6536.65
1995-01-17,6564.25,6574.77,6487.73,6515.79
1995-01-18,6558.74,6638.41,6546.99,6623.52
1995-01-19,6635.62,6672.63,6598.02,6598.02
1995-01-20,6572.85,6572.85,6370.49,6372.01
1995-01-21,6344.29,6432.2,6278.54,6431.99
1995-01-23,6446.9,6451.42,6290.96,6295.04
1995-01-24,6180.25,6242.48,6167.79,6167.79
1995-01-25,6277.07,6329.91,6260.41,6299.62
1995-01-26,6293.33,6348.07,6270.68,6307.85
1995-02-04,6444.53,6455.3,6328.38,6328.38
1995-02-06,6298.01,6417.28,6298.01,6417.28
1995-02-07,6474.84,6554.32,6474.84,6531.82
1995-02-08,6538.92,6549.19,6491.04,6526.74
1995-02-09,6578.69,6601.47,6530,6543.42
1995-02-10,6574.78,6574.78,6519.57,6554.78
1995-02-11,6592.13,6598.84,6548.97,6565.24
1995-02-13,6578.07,6578.07,6498.21,6498.21
1995-02-14,6505.53,6525.82,6478.31,6504.59
1995-02-15,6530.01,6581.77,6528.71,6576.25
1995-02-16,6642.03,6668.63,6617.05,6646.55
1995-02-17,6691.36,6691.36,6635.72,6646.25
1995-02-18,6696.29,6696.29,6636.52,6650.29
1995-02-20,6688.01,6689.18,6604.76,6612.97
1995-02-21,6625.32,6638.47,6594.15,6633.03
1995-02-22,6652.82,6652.82,6595.86,6603.88
1995-02-23,6583.49,6614.61,6547.96,6552.95
1995-02-24,6598.34,6640.57,6582.79,6596.07
1995-02-25,6615.64,6625.51,6585.04,6591.36
1995-02-27,6404.55,6449.46,6284.75,6388.57
1995-02-28,6436.46,6509.33,6408.83,6509.33
1995-03-01,6436.26,6446.95,6329.52,6337.83
1995-03-02,6436.47,6474.76,6419,6450.39
1995-03-03,6478.98,6516.83,6478.98,6516.83
1995-03-04,6528.32,6530.74,6497.24,6530.74
1995-03-06,6529.34,6540.13,6470.9,6474.94
1995-03-07,6479.35,6496.21,6437.46,6480.76
1995-03-08,6478.59,6511.29,6421.26,6426.07
1995-03-09,6432.3,6466.9,6382.24,6388.36
1995-03-10,6435.94,6460,6428.81,6453.52
1995-03-11,6495.5,6509.89,6476.92,6480.98
1995-03-13,6520.41,6525.89,6496.41,6503.18
1995-03-14,6501.05,6501.05,6455.18,6480.31
1995-03-15,6524.07,6557.33,6519.01,6555.19
1995-03-16,6596.75,6604.44,6556.35,6564.66
1995-03-17,6614.79,6618.4,6582.59,6594.26
1995-03-18,6625.43,6625.43,6574.45,6587.96
1995-03-20,6585.25,6585.25,6540.76,6541.58
1995-03-21,6585.79,6587.4,6520.08,6524.87
1995-03-22,6438.85,6479.01,6355.71,6479.01
